,ratings,reviews
10,5,"  I bought this camera with absolutely no knowledge about aperature, iso, shutter speed, etc.1. This camera is very user friendly. The knobs with explanation on screen is easy to understand. I got some great pics with auto mode and that encouraged me to take more pics.2. The difference of 9 vs 11 auto focus might be apparent if you have used camera with 11 AF points. For me, 9 was good enough as they are centered in middle of screen. In some occasions where we want to focus on birds, objects near rear of screen, manual focus need to be done. Otherwise AF points are excellent.3. In built flash is as good as we hope for. For nearby objects, flash is bright and pictures look great. Typewriter pic is taken during night time.4. Battery is awesome. Canon promised 500 photos. I guess that's enough for normal user. Agreed Nikon gives 1500 pics but I considered availability and cost factor and went for canon. I have been using it everyday from date of purchase and I have charged the battery once a week max. Really it's not like phone battery to charge at end of the day.5. Picture quality in auto mode is mind blowing. Smartphone all look like toy when using DSLR. With all hype of 64 MP, 108 MP camera in phone, I thought DSLR will just give similar results. Oh boy! I was wrong. Canon portrait pics are many many levels above best smartphone camera pics.6. I got it with 18-55 mm kit lens. Unless you like to take pics of objects in home and going to use it for taking portrait pics or family outing, this lens is not sufficient to enjoy DSLR. I very strongly urge you to go for 250 mm lens(70-300 mm may be but 250mm is best).7. Canon image cloud option is very useful. Unfortunately I am not able to upload high quality images-- image size reduces to less than 1 MB during upload. Nevertheless, that option is good.8. Taking video is pain and it drains battery. This is apt for taking still photos. Also video is restricted to 30 minutes.9. There are dedicated modes for macro, sports, landscape, food, etc. They just have right settings like higher aperature for landscape etc to get best shot.10. Learn photos editing software and get one. I thought they were bogus but it turns out you definitely need them.No need to buy UV lens protection. Get a tripod. Also good memory card. A hood. Good camera bag. You are ready to enter into world of DSLR and definitely canon motivates you to do more."
11,1,"  Amazon was dispatched this camera on 08.10.2019 at home and i went to some official trip on that time hence i was not able to check its operation. I came home on 23.10.2019 and opened this product, captured some images and it was good. Later i tried to transfer the images from Camera to mobile through Wifi and found the camera getting switched off. I tried several times and the problem remain same. Further i tried to return the camera and the seller is not accepting my request as the date of return is already crossed.I have contacted my friends who is working in photo studio regarding this and they have expressed that the Canon EOS 1500D is having such types of problem and we have seen many of the cameras having such problems.We request buyers who is willing to buy this product, pls avoid online purchases of this product. Verify before purchasing.Now i request Amazon to help us regarding this issue."
12,5,"  First of all thanks Amazon for giving such a wonderful offer , my dream comes true and finally I have dslr....Picture quite is awesome in both day light as well as low light. Still learning the different modes of camera for taking pictures. For beginners it's little difficult to handle but there is an auto mode  that can be used if you don't understand anything. But quality of pic comes better when you set the camera manually"
13,5,  I have purchased this for my brother last year from Amazon.I got the single kit. slightly disappointed due to that. Otherwise....*Excellent DSLR for beginners.*Easy to use.*Good quality.*Decent battery backup.*Worth for moneyFact: If your expectations are high with the stabilization or photo output etc then please go for Canon 5D/7D. This is for beginners (21K) and so if you buy this then keep your expectations as much you pay. :p :)
14,5,"  Let me explain.Yes, with 9 point AF with the OVF, you'll feel the AF a bit dated but does the job rather well. Live view has face detect but has a jerky continuous AF and is slow.But those are most of its negatives.The camera takes wonderful pictures and with digic 4+ image processor, the jpegs are perfectly usable. If you want perfection, shooting in RAW will give you what you need.The colors captured on this camera are perfect and natural, with settings to tweak them to your taste (see picture settings in menu).The build quality is solid and ergonomics of the camera, especially through its grip is wonderful. It feels perfect in my hands. The menu system is uncluttered and quite intuitive. It is very easy to customize the camera to your specific needs.You can shoot videos with this camera but without continuous AF, you'll get better results if you switch to manual focus during video.Why is it the best DSLR?Because of it's limitations in AF and simple straightforward usability it lets you take control over your photographs and videos unlike other advanced models which take control away from you and makes the choices for you. The result is you can get the exact photograph you intended to take. Combined with the 24 megapixel sensor, which is the same sensor found in almost all other canon APSC DSLRs, all the way upto 80D, the image quality is at par with much more expensive cameras.The digic 4+ processor is good for image processing, frankly the more advanced processors bring features such as 4K and such, which if you're not into video, you'll not miss it. The digic 4+ processor is more than adequate for your photography needs.With all the above considerations, it's the best DSLR you could get, in my opinion."
15,5,"  I had only 3 hours to make the decision. Next day I had my flight to Korea and we thought of buying a DSLR at night (didn't make a decision earlier, as we had One+ and iPhone which are kind of best in class for the camera). So, I quickly did research and found just 3-4 options. I watched 2-3 YouTube videos to make the final call and guess what I made the right choice. I took next day morning delivery paying 50 rs extra. The camera is superb (5 stars). Though I handled a Sony camera earlier, this is my first DSLR and believe me, it was quite easy to follow their instructions manual. I would highly recommend you to read the manual / try at home/rehearsal before you go out to capture actual pictures. I am attaching a few pics which I captured with just 2 hours of the experiment."
16,1,  The battery is faulty .... It drains even when not in use
17,1,  This amazon playing very cheap games to the customers. I have ordered this product on 29th for almost 29k and now the sale daybits cost around 23k. How fooling the customers for this kind of false pricings and every product has 10days return policy but now its not acceptable reurns it accepts only replacement. What a cheap gameplay amazon. If you really think about the customer do some promising thing not such kind of fraud things. Never ever i buyer in amazon again. Good bye. You lost a loyal customer. I may not do anything for you except stop ordering from you. That enough to added advantage to your competitors.
18,5,  Got it at 18990/- only during the great india n sale. Picture quality is great. Battery backup is about to take 500 shots. Flash is just ok. Not a sharp one. Very handy and easy to use. If you want to buy then buy with dual lense because 2nd lense is about 12 to 14k. In dual kit you get 2nd lense at 8 to 9k
19,5,"  WARRANTY CAN BE REGISTERED!! IT HAS 2 YRS WARRANTY!!!Just finished registering the camera and lens.Great camera. You will love it. Very steady. Great buy to start your hobby/profession. Don't compare to other cameras. At 26k good its a great dslr with 2yrs warranty. Should take care of parties, weddings and video shoots. Excellent battery life. The camera case is good.It has no external mic in."
20,5,  It's a great product but the price fluctuates between 24k to 30.5 k which is a big difference.I have even found PPL buying it for 20.5 k .So please wait for the offers to make it a real value for money deal.The add on lens should come with more affordable packages.
21,4,  Picture quality fantastic and camera handling and features are very good which will attract a beginner.
22,1,  I wanted to return this order on the same day and purchase Canon 200D as I did not like it.. but never had an option to do that. Tried contacting CX care a number times and nobody were of any help to me. Atlease got a chance to ask for assistance regarding the return. I still have it packed as it is.. I am not at all happy with the product and have not even charged the battery even once.
23,5,"  Excellent camera for both beginners and advance users, 24.1 Mp gets your pictures crystal clear. I suggest to get this deal before it ends"
24,5,"  Amazing product, got 1+1 extended warranty. Using it for a while- working good and got the product in clean and sealed condition.Pros:1.amazing picture quality2. Handy3.light weight4.gripping is good5. Best features with WiFi and nfc,can transfer images directly to phone or pc. 6. Memory card and one battery is includedCons:1. Camera carrying bag is small2. No extra battery with package you have buy extra one for backup3. Don't come with screen protector, you have to buy it for LCD  display protection from scratches."
25,3,"  I bought this camera, its was working well with 18-55 lens, but when i move to 55-255 the performance was low.battery backup also very less.But overall good camera. At night 55-255 lens take hell alot time to focus.So my suggestion is go for 200D. Amazon wont refund for it, so i sell the camera on OLX"
26,1,"  First of all. I ordered this product in Amazon great sale at 34000, but next day the price was 30000. I am very disappointed with it. Camera is for beginners, who wants to learn about basic photography. It's for casual use. If you want a proper professional camera for photography, then I would suggest go for 70d or further."
27,1,  Delivery boy not calling for pick up the product as I returned the item
28,1,  This is a review about the seller ... Please think twice before you purchase anything from this seller ... The camera I had recieved was not seal packed ... It had a tape to give the illusion... And the camera had a very very light scratch on the screen and these were some of the red alerts and bingo there came the real issue ... The menu button was faulty ...
29,2,  Camera is gud one..... But i brought it on 'no cost emi (970.86)' of 6months @25376.14 after the deduction of 970.86. Now my EMI is 4391.16 for 6months...that comes 26346.96...So my question is how will i get the no cost benefit of 970.86?
30,1,  I have purchased this Canon DSLR after a small research. It's results were fantastic as a digital camera. But just after few months of purchase I found that sometimes it's shutter starts operating automatically without clicking any picture. Sometimes it worked ok but sometimes automatically opening and closing of shutter with annoying noice started. Then I contacted Canon serice centre. They gave me address of local service centre at Jabalpur MP. I gave them my camera for repairing. They sent it to Indore city workshop and it took nearly one and half month to return me. It was working ok at that time but after few days that shutter problem started again.Now I can not give this camera to workshop again and again so I am using this faulty camera as sometimes it works ok but sometimes it doesn't work due to shutter problem.I thought earlier that Canon was excellent brand but now my thinking is totally changed about it.
31,5,"  # DSLR at feasible price# Excellent picture quality#Sturdy body with ergonomic design which is easy to grasp# Compatible with accessory lens like tele zoom lens and macro lens (which are not a part of standard lens kit)#Easy to operate#Fairly good battery life#Easy connectivity with multiple options- wireless, USB,HDMI etc"
32,1,  This camera is only for photography ...u can't record a good video... because it doesn't have continuous autofocus while video recording....even mobile phones have that function.... the auto focus is fixed while video recording...like if u move in your video..then u get out of focus...which is disgusting.. because video means a movie a moving object...
33,5,"  This is my first camera. The pictures are great. Video quality is acceptable for such a mid level cost. The images are high resolution and good even in low light. Same for videos.For beginners like me,it takes a few weeks just to learn various settings like auto and manual focus. Aperture and shutter.. and ISO...Youtube is very useful for first time user to get familiar with the settings.The seller was very nice. Delivery was good and product was authentic,as always!The quality is good with free bag and a 16 GB sd card,but had to buy 128 gb as 16 gb is low space for a camera that takes high resolution images and videos.Just go for it."
34,3,"  The product is absolutely perfect but Amazon service is not professional. Don't buy this if you are going to shoot videos bcoz it doesn't support mic, Amazon will not tell you this in their description of product. I lost my 10k because of Amazon they mention ""10 days returnable"" but it is actually ""10 day exchangeable"". They totally denied to take it back. Be careful when you are buying it."
35,5,"  Candid pics, excellent picture clarity best in this price you can't ask for more. Great cam for first DSLR folks.The disappointment is only with the Courier service, have been very pathetic service with Amazon delivery and it's been so worst since a couple of months recently. Amazon should rethink of the Courier partner. Will be a big drawback with this worst way of the delivery service ."
36,5,  Canon 1500 is the best entry level DSLR and its very easy and convenient to use..the canon connect app is jst superb.. u dnt have to worry abt transfering the pics from the memory card..jst connect the DSLR through its inbuilt wifi to ur smartphone and jst view or download any pic..save it in ur phone..laptop... u can also view and click from ur smartphone..this is the best function of the camera..the DSLR works well even in low light..i have tried clicking pics without using flash..and they came out superb..images are crisp and there is no issue of the pixelisation..day time images are superb no doubt..
37,5,  For beginners this is a great optionGo for it if you are learning basics of photographyImage quality is decentLow light photography you have to control on ownRest all covered
38,2,  I used it only 4 or 5 times till now and it’s not working properly.i was thinking that it might be setting problem but no it’s not a setting problem when I press the click button it stuck and on the screen it always show busy or error. I got frustrated when I pick it up for clicking pictures. With this problem first I have to switched it off and then on then it work only for 1 click after it again it show busy and the click button not work even I m not able to press it . It gets jam all the time.kindly do the needful bcz it’s in still warranty.
39,3,  This is my first DSLR. I will mention few points below which i liked and sumthing i didnt liked.LIKED:1) Its good for day time photography2) its lightweight3) Its good for normal photography4) 55 - 250mm lens very good for bokey effectDISLIKED:1) Kit lens not so good2) Flash too bright3) Night time photo not good.4) Quality feels average5) photo quality average
40,5,"  The camera is an excellent option for those who are just newly stepping into photography field as it can give them all the tools needed to develop their skills.Performance as an entry-level camera is good. It has Wifi inbuilt in so the users can transfer their files from the camera to smart devices..  Canon1500D has a  superior sensor over the older EOS 1300D  Thus, overall image quality is much better. Color saturation is decent and a fair amount of sharpness , As far as noise is concerned, the camera handles shots well up to ISO 1600 with a little amount of grains Even at ISO 800, the noise levels are acceptable. Increasing  ISO to 1600 increases the noise but the images were still good enough to be shared on social medias. Autofocus is fast enough when using the viewfinder but once switch to Live View mode and it really struggles to get the focus.  Overall i would recommend the camera to anyone who is starting into photography .Here are a few of my shots clicked using this camera."
41,5,"  This is my first camera and I'm extremely happy with my choice. It is just the right DSLR for a beginner. The displayed instruction for every function helps you to navigate yourself through them. Within a day or two you will know everything about it. It has a really fast auto focus and the picture quality is absolutely stunning. Being a beginner, I feel that I couldn't have chosen a better one."
42,5,"  I got it on the next day. Awesome product. Everything is good.Easy to handle, picture quality is very good. Good for your learning phase."
43,1,  I am using this for couple of months. In this model Canon has removed the center pin in Hot Shoe. Hence most of cheaper after market external Speedlight flashes cannot be used in this DSLR model. Very few models can be used which are TTL capable - but those are above 4K INR. So anyone looking to buy this please be prepared to invest in costly Canon or third party Speedlight Flashes. Inbuilt Flash is of no use.
44,4,"  For a DSLR, it is relatively compact, light in weight and easy to operate. Although certainly a step up from a smartphone, it’s just not all that exciting or satisfying to use for anyone with a deep interest in photography. Build quality is good enough to withstand normal usage, although not rough treatment and neither the camera nor the lens is weatherproof. The kit lens is an average performer across its focal length range. I'd recommend paying extra for stabilisation if you add a telephoto lens to the basic package.It lacks in some features, especially with the 30fps recording, 9-point focus system and the lack of a headphone jack, but if you are into photography, the camera makes up for it with the still great picture quality and amazing battery life for its price. I doubt it would provide the best stepping stone for beginners who want to improve their mastery of photography."
45,5,"  This is hands down, best entry level camera for regular use.  Begin with auto mode (auto focus, auto flash everything auto). Explore and learn slowly on your own or by watching some videos on youtube, and become an expert in no time. Once you become professional, you can be the photographer at your own wedding. All the best"
46,5,  This is my first ever DSLR and this is been a great experience pictures are so great that I gained a professional confidence that I can click good pictures thanks  to cannon for introducing such a great entry level DSLR at this affordable price by Amazone.Battery is also long lasting and very easy to use.i must suggest everyone who is looking for an entry level DSLR please go for this.
47,4,  M writing this review after usage of 1.5 years of canon1500D:-The camera is good - only for new comers into photography.. If you’re a photographer who does paid shoot or is interested in various amounts of genre in photography then I suggest to go with a lil high budget of another camera. This camera is good only with 50MM lens.. if you click pictures with the 18-55 MM lens then you are gonna definitely face issues with Noise in the picture.. same if you use 55-250 there is a high chance if getting shaken images also adding noise into it..if u have budget issues and are very good with post processing skills then you can go for it or else not..Overall:-Picture Quality:- 3Auto Focus:- 4Battery life:- 5
48,5,  Absolute value for money at 23500 (price I purchased for)Has a 24 MP lens with the latest in-class sensors and controls and even enhanced options like dioptre corrections. For a beginner it even has a setting with creative filters applied automatically to scene which I find to be useful.
49,3,"  It’s good for a beginner I must say not for the someone who’s looking for more features in a economical price. I wanted a Camera for a purpose of shooting YouTube and small Events. We’ll never mind we all can always have the best with the option of just a click.Five keys to take away from this experience.• Best for beginners• Not very economical for the price• Amazon has the options needed• Canon’s playing with it’s good will• Well, never mind nobody’s going to take it seriously"
50,1,"  1. Purchase date:- 14-05-2020 with one year warrantyWarranty expiry date of camera I checked from canon wedsite:- 10-12-2021The date and month should be same, That means warranty starts 6 months before the purchase date with two year warranty.2. The camera package seal was broken. both camera and lense was simply put in the box without any cover.3. Camera strap was missing.I returned the item for replacement.Here I am attaching the screenshots from the video I took while unpacking."
51,3,"  Honest Review: this canon camera is not good for beginners,, better to go for good point and shoot camera or good quality mobile bcoz when you shoot your video this will not give you any auto focus to moving object. So this will just give auto focus to a particular object only and when your object go front and back.. this get automatically blurred in case of video. This is my honest review so don't buy this camera for YouTube video like cooking, art and craft etc. You don't get return and refund so go to shop and try the camera range before buying for your particular purpose. For photography you can buy this. But for video this is the worst camera I ever used. I don't expect such a bad autofocus.. after doing manual focus settings then also this camera will stuck to that particular silent no motion,,, object only. We shoot video for moving things.. so worst buy. 1500d is totally worst for video."
52,5,"  DSLR 1500D is perfact for beginners, best quality pictures. Easy to use, using wifi communication u can easily transfer all the images in your phone, also u can use ur phone as remote control of your DSLR with a small android app canon camera connect."
53,1,  I bought a canon eos less than a week ago and the shutter stopped working. There is only one official service centre in a big city like Hyderabad and now they say that some liquid has entred they don't do free service as some liquid has entered and it is customer mistake. I did not even use it much and not sure how the liquid entered.
54,5,"  Ordered this product for Rs. 21,990/- using Prime on 22.10.2019 at 10:00PM & Received it on the Very Next Morning! Product was Packed Tight Perfectly in Sealed condition.Box contains: Camera Body, 18-55 Lens, Strap, Battery, Battery Charging Adapter & Wire, Kingston 16GB Memory Card, A Carry Case, Warranty Card and Guide.Turned it On After mounting the Lens to the body and started to Click Pictures and I must Say The Quality of the Pictures are Damn Great and Amazing. Tried Clicking some Pictures of Potraits, Close Up's and in Flash off Mode and the Results had Awestruck me!Also Connected the Camera to My Mobile Using WiFi and Canon Camera Connect App from PlayStore as this Product supports WiFi and NFC. Using Remote Access I had Controlled Camera and clicked Few Images and it seemed perfect. WoWI have Noticed that Autofocus is a Bit Slow. Will talk about this in the later part after proper utilisation.I Conclude that this is a Must buy Camera for Beginners and Hobby Photographers at a very Reasonable Price."
55,5,  Great DSLR for begeners......amazing quality ant trust of canonRecomended for all photo enthusist and normal household events and functions.Good user experience...Camera bag it came with is not that giod.....recomended to chenage it foe added safty
56,5,  Value for money. Good for beginers. I used for video recording. Max record upto 12 min. as per standards. No external mic support to record audio as it's entry level DSLR. I used previously canon 1300D which of 18 MP but it's of 24 MP which is better for photos and videos as well. More durable. Got in deal around 24000 rupee. More than happy.
57,2,"  Bought from Appario. Two orders and one replacement - seal broken in all three cases so returned the camera. Bought it for 33.5k first and now, with JJ Mehta - it is > 38k. All in 10-15 days time."
58,1,"  Please see the unboxing photos as attached along with this review. Carefully check before placing orders what you are going to get. Memory card will not be part of this. I found camera bag missing. Also SD card slot does not have the tray/container to insert a SD card, even though you buy a SD card on your own separately. Also see the picture carefully, without lens the camera will look like as shown in the picture. I wanted to capture all accessories included when I got it delivered. Conclusion: amazon FBA is not justifying with customers. Canon original product definitely has all accessories even including SD card I believe. Now I doubt about the quality of packing and condition of the camera, never know it's just an used product got delivered. Moreover, the product does not have refund policy. Be very careful before placing an order."
59,4,"  Just getting my hands on the new purchase but its really seems to be a Deceptive Trick by CANON or their dealers to show a reduced price..There is NO USB CABLE INCLUDED & NO SD CARD NOT EVEN 16GB ONE. Now it really doesn't take Einstein to understand that anybody who is willing to purchase a cam like this wouldn't care to get a necessary cable/card with it & its just so obvious that we all expect exactly that a cable/card would be included...So, before buying please do checkout the list of included items carefully...other stars after using the cam."
60,4,  Been using this for about a year now and it really works great as a DSLR is supposed to. But just reflecting back on why I bought this camera at this price I think I was better off buying a smartphone with good camera. The camera is good no doubt but the smartphone cameras have also developed alot. So buying this camera for an average person may not be the ideal choice But still it is a good DSLR for it's price. 😊
61,5,  Everything is okay in this product but i suggest seller to include SD Card and Carry bag because it's difficult to start camera without SD Card. Also bag is required in  travelling for Camera safety. Charge extra of this 2 items but next time please give those items included.
62,5,  Good for Beginners. Using this product for more than year now and working perfectly fine. Purposely did'nt wrote review earlier. Now I can say this product is really good. Amazon delivered in good way.Recommande to Beginners who are looking for good DSLR.
63,5,  Amazing camera for beginners like me. Awesome picture quality and best part is it has auto mode which will do everything we just have to click the photos. Really liked this camera.
64,5,"  was very happy for the price that i got at 19,990 during the sale. Camera works well but i did not explore all the options. Hope it's good for beginners to play around."
65,4,"  Best for beginner photography. It's been more than 6 months now. I bought this camera with the 18-55 lens for 21k and a 2k debit card discount on top (net: 19k). I have learnt a lot in terms of photography. The continuous shot speed is very less (3 fps) and the autofocus isn't that great but does the job.For the price this is a value for money camera.This is a very portable camera. With time you can upgrade your lenses.If you're are really into photography or want to explore it with a minimal budget this should be your purchaseIf you want to check out more photos from this camera and ask any queries personally, check it my Instagram id: @pixelbug_abhi"
66,5,  If you want to buy a dslr under 30k then this is probably the best choice for you.....even a good hand is enough to click pictures like professionals with this dslr....just make sure you buy a portrait lens when u buy the first extra lens with this camera....this combination of 50mm lens and canon 1500D is a beast🔥
67,4,"  You can take brilliant photos with this camera ( if you know how to use it properly)Picture quality is niceNice auto focus ( suffers during low light)The smartphone connect app is useful...Better to buy extra lens.Kit lens is not that much powerful,but you can take great photos with it,If you want.Camera is just a tool,it's all about your talent.Am completely satisfied with this productAmazon packaging was great,they took serious protective measures.Thanku Amazon, Canon , The seller and all the persons who brought this item to me."
68,5,"  super camara, picture qulity very clearly, auto focus amazing and beginners go for it blindly...5 star rating overall, very smooth and hendy camara and its lcd display cool and bright also camara easy work and fast photo capture, wife to connect mobile features i like it,. but amazon delivery so late. i order 1/10/2019 and packeg arrived 7/10/2019..  7 days for wait...not speedy prosses"
69,5,"  A pretty decent camera not only for beginners but for experienced photography enthusiasts as well. My suggestion to those who are buying their first DSLR- spend a couple of days learning / experimenting the manual mode, you'll have some awesome pictures after that. The bundled lens is good in most of the situations, low light auto-focus could be a bit better. All in all, this is a good camera at this price."
70,5,  Best for beginners.-Image quality is really crisp.-Can capture video 1080p @30FPs and 720p @60FPs. On NTSC video system.-Build quality is also good.-18-55mm lens is also fine for the beginning.-Night quality is good but do not expect that much.
71,3,  I did not receive memory card and bag with the camera. Now I am unable to test it. I can see other people have received both items along with the camera. My camera box does not have sticker mentioning the SD card. Canon should have included it.
72,1,"  They are not going to give you the carry bag which comes free with product. Even they will not give the memory card. And box are used, seal broken. Better you go and buy in shops"
73,5,  This product is best for beginners who want to come to the world of photography. I am using this camera for 2 days i am pretty satisfied with the experience and i didnt get any issues if i get some issues after using it i will be updating this revew. the lens which u getwith this camera is 18-55mm kit lens which gives descent depth of field the only problem with lens is that it can only zoom uptp 55mm long so if u want a high end lens u can buy it seperately. i have attached a picture of mine which was shot by my brother so that u can get an idea of the picture quality. overall this is one of the cheapest but best camera i have ever seen.
74,4,  Good product For begginers and if you want to good quality picturs you should buy this product . But in case if you want to make video for project so kindely notice that it has verry poor focus and if object still than you can focus properly buy if obect are moving then you'll face problems .otherwise good image quality and and good potrait photos you can capture
75,4,  I am using past 6 months and till now I am very much satisfied from this product using day light photography but I do not know what settings are required to capture night light photo.. using default auto setting. So it's drawback or my lack of knowledge. If I get setting details from product seller then fine picture quality at night then I will revise my rating.
76,5,  Nice product..my first DSLR n it is great..
77,5,"  Very Nice At This Price... I Got It At Low Price During Great Indian Festival... With Dual Lens... It's Perfect For The Beginners... I Wanna Give Thanks To The Seller... ""Appario Retail Limited"" Got It Before Our Festival Durga Puja... Battery Life Is Not So Nice... But, Good..."
78,1,  No hot shoeHave attached photos of the sameHuge Flash issueDon’t buy canon 1500D if you want to use third party flash with this camera as it doesn’t have Center hot shoe.Third party flash cost less.As a entry level camera the cost of camera is low.But You’ll be forced to buy canon flash only as only canon flash are supported and canon flash are expensive.Go for other canon models which have Center hot shoe.
79,5,"  It's my childhood dream to buy a camera. I am afraid of buying such an expensive item online. But I take a chance, and the comes with very good and safe packing. The quality of the Camera was awesome, Everything in-camera is too good. M happy with the Quality and service... Thank you"
80,5,"  It's an awesome product from the home of 'Canon'. Product is really very fine to handle. Thanks to the Amazon team.If you're a beginner, then you can go for the basic training classes through YouTube or an instructor. Functionality of the product is far interesting & a beginner should learn step by step.In the end, the product is worth for you in an unique budget. Go for it 👍"
81,5,"  I like  very much this  , image quality is vet nice First things first, it’s an incredibly functional DSLR that takes sharp images with a natural feel to them and also offers a good video quality. More importantly for beginners, however, it manages to do that right out of the box, which allows beginners to get taking great pictures and recording quality videos as soon as they unbox the DSLR."
82,1,  Poor customer supportProduct quality not upto the markMy 13000rs Sony camera which is 5 years old is far better than thisData transfer cable also missingBough it on Amazon saleBut am least happy with this productMy Samsung phone takes better pictures than this
83,5,  I can say it's a best camera for photography.This is my first dslr I bought during Amazon sale @22k. I was confused between nikon d3500 & canon 1500d after getting the amazing feedback from my photographer friends I chose to go with canon brand.This was my first shoot I did with the 18-55mm kit lense & got wonderful results. I'm looking forward to buy 1 50mm F1.4 lens to upgrade my potrait shoot.Thanks alot Amazon your service & support can never be matched!
84,3,  Amazon delivered a second hand product.The Canon Digital camera package seal  was broken and it was opened several times by previous users. The camera was with full of finger print marks. There was no provision for return of product. I am not satisfied with a second hand product with price for the original product.
85,5,"  Very beginner friendly. I bought it for my cousin  who is a complete newbie in photography. And he took this picture (attached) in his first day. The focus speed is not as good as Nikon entry levels, and the battery backup is slightly worse as well. But the color profile is much better in Canon. The details are very close to Nikon D5600. Only major negative is fixed display. But again wifi mobile  connection really helps."
86,5,  Got it for 19k during festival salesIncredible for that priceEasy to use and good picture qualityEasy to transfer photos via nfcGood battery also
87,5,  A great product for beginners. Got it for 21k during amazon sale and using sbi card cash back. Worth every penny if u really want to click your moments and cherish later. Even my wife is also much comfortable using this camera since it has screen view mode. Also the automode sets the ISO and white balance allowing clicking shots without looking for a setting if u r in a hurry. Wifi connect is very convinient. U can just download whichever image u like.
88,5,  It is best camera for beginners and both with 2 lens. Fully satisfied and got good offers while purchase.
89,5,"  For the beginner, this is a perfect choice. Also, I got a huge discount on this one on Prime day. Thanks to Amazon :)The only problem I am facing is unable to register its 2 years warranty on the canon website. However, Amazon also solved this issue by providing the same 2 years warranty on this product."
90,1,  False advertisementNo touchscreenLens doesn't do a good jobMakes too much sound while focussingNo good focus at all.Blurry videosNo flash in videos...It's my First day with this cameraAnd I'm highly highly highly disappointed.PleaseI repeat please DO NOT PURCHASE ITEVEN IF YOU ARE A BEGINNER.Else you will cry like me
91,4,"  For beginners in the photography world: The 1st thing you should do after buying a camera is understanding the concepts (shutter speed, aperture, ISO, metering etc). For this please go with some youtube videos to learn the basics.do not ever keep in auto mode and shoot. learn the things and keep in manual modes (P, Tv, Av, M). Even the ISO, do not keep in Auto for ISO. It will introduce more noise in the image."
92,5,"  A perfect camera for beginners. If you are not a professional ,this camera will suffice all your needs.Good AutofocusGreat picture quality.And best thing is remote operability from canon camera connect App. This really helps for nature photography."
